jordtype,nmin,aar_mod,potnmin,exptgens,rokap,komm,nedbarea,jordn,mod_nmin,forfrugt,ngodnt,ngodnn,nprot,ntilg,pesticid,nopt,ngodn,ngtilg,protein,saatid,dgv1059,dg25,frspdag,dgv5980,aks_m2,keraks,bgbyg,sort,srtprot,sorttkv,srtsize,nplac,aks_vgt,spndx,tkv,saamng,saakern,tkvs,antplnt,partigerm,markgrm,jordinf,udb,ksort,slt22,s2225,s2528
JB_5,x30_45,x5,x60_75,x50_60,x112_5_137_5,state2,x1___375_,x90_105,x30_45,Clovergrass,x75_90,x45_60,x100_120,x165_180,x_2,x135_150,x45_60,x60_75,x11_5_12_0,x_26_4,x51_60,x_22_5,x15_17,x15_25,x550_650,x21_23,x4_5_5_0,Teal,x4,x5,x2,Top_dressed,x700_750,x9_10,x35_40,x150_170,x325_375,x44_46,x275_325,x90_93,x85_90,x_95__97,x40_50,x_85,x3_5,x5_10,x20_25
JB_8,x45_60,x_10,x45_60,x50_60,x162_5_187_5,state3,x2__375_500_,x105_120,x60_75,Cer_rotation,x60_75,x_45,x100_120,x135_150,x_2,x135_150,x_45,x_45,x10_5_11_0,x_26_4,x51_60,x32_5_37_5,x_15,x15_25,x650_750,x17_19,x3_0_3_5,Cooper,x2,x5,x1,worked_in_solil,x700_750,x9_10,x45_47_5,x170_190,x325_375,x48_50,x325_375,x98_99,x97_98,x_98__99,x50_55,x_85,x3_5,x1_5,x10_15
Jb_1_,x15_30,x_25,x0_15,x40_50,x37_5_62_5,state1,x3___500_,x45_60,x45_60,Clovergrass,x45_60,x60_75,x60_80,x105_120,x_2,x120_135,x45_60,x45_60,x11_5_12_0,x26_3_10_4,x51_60,x_22_5,x15_17,x25_35,x750_950,x13_15,x3_0_3_5,Tofta,x3,x5,x2,Placed,x650_700,x9_10,x42_5_45,x230_250,x_450,x44_46,x_425,x97_98,x97_98,x_99_1_00,x55_60,x90_95,x3_5,x0_1,x0_5
Jb_7,x30_45,x_20,x45_60,x50_60,x137_5_162_5,state3,x2__375_500_,x105_120,x45_60,Beets,x75_90,x_45,x100_120,x135_150,x_2,x150_165,x_45,x_45,x9_5_10_0,x11_4_20_4,x61_70,x_22_5,x17_19,x25_35,x950_1150,x17_19,x3_0_3_5,Delibes,x3,x6,x0,Placed,x850_950,x9_10,x40_42_5,x190_210,x375_424,x50_55,x325_375,x90_93,x90_93,x_99_1_00,x_80,x95_98,x3_5,x0_1,x0_5
Jb_1_,x15_30,x15,x30_45,x30_40,x37_5_62_5,state4,x1___375_,x30_45,x0_15,Clovergrass,x75_90,x60_75,x40_60,x_75,x_2,x_120,x60_75,x_45,x_9,x21_4_26_4,x_25,x37_5_47_5,x_15,x5_10,x_350,x_13,x4_0_4_5,Texane,x3,x5,x1,worked_in_solil,x700_750,x9_10,x45_47_5,x210_230,x375_424,x50_55,x375_425,x98_99,x98__99,x_99_1_00,x_30,x_98,x0_1,x0_1,x0_5
JB_3,x0_15,x10,x0_15,x40_50,x62_5_87_5,state4,x2__375_500_,x0_15,x0_15,Clovergrass,x90_105,x105_120,x_40,x120_135,x_2,x120_135,x90_105,x120_135,x_12_0,x11_4_20_4,x51_60,x_22_5,x_15,x_35,x950_1150,x15_17,x3_0_3_5,Meltan,x7,x6,x1,Top_dressed,x550_600,x9_10,x45_47_5,x210_230,x375_424,x50_55,x325_375,x97_98,x90_93,x93__95,x60_65,x_85,x3_5,x1_5,x15_20
JB_6,x45_60,x_25,x45_60,x40_50,x162_5_187_5,state3,x1___375_,x_120,x_75,Beets,x_45,x_45,x120_140,x165_180,x_2,x120_135,x_45,x_45,x10_5_11_0,x_26_3,x51_60,x_22_5,x15_17,x5_10,x750_950,x17_19,x4_5_5_0,Brewster,x2,x5,x2,Placed,x750_850,x9_10,x42_5_45,x130_150,x325_375,x40_42,x325_375,x93_95,x94_95,x_99_1_00,x65_70,x90_95,x3_5,x0_1,x0_5
JB_9,x45_60,x25,x60_75,x50_60,x187_5_212_5,state4,x1___375_,x90_105,x15_30,Beets,x105_120,x_45,x100_120,x120_135,x_2,x135_150,x_45,x_45,x10_5_11_0,x_26_4,x51_60,x27_5_32_5,x_15,x25_35,x750_950,x19_21,x3_0_3_5,Princesse,x3,x5,x2,worked_in_solil,x650_700,x9_10,x35_40,x110_130,x225_275,x46_48,x225_275,x98_99,x98__99,x_99_1_00,x55_60,x_85,x3_5,x5_10,x20_25
JB_3,x15_30,x_10,x30_45,x_30,x87_5_112_5,state0,x1___375_,x60_75,x30_45,Cer_rotation,x60_75,x_45,x60_80,x90_105,x_2,x_120,x_45,x_45,x10_0_10_5,x_26_4,x51_60,x_57_5,x15_17,x5_10,x450_550,x19_21,x4_5_5_0,Princesse,x3,x5,x2,Top_dressed,x550_600,x9_10,x40_42_5,x110_130,x275_325,x40_42,x275_325,x97_98,x97_98,x_99_1_00,x_30,x_85,x3_5,x5_10,x15_20
JB_3,x0_15,x_20,x15_30,x30_40,x87_5_112_5,state4,x2__375_500_,x45_60,x15_30,Beets,x75_90,x60_75,x60_80,x120_135,x_2,x120_135,x60_75,x60_75,x9_5_10_0,x11_4_20_4,x61_70,x_22_5,x_15,x15_25,x550_650,x17_19,x4_0_4_5,Saxo,x3,x5,x2,Top_dressed,x700_750,x9_10,x42_5_45,x230_250,x_450,x40_42,x375_425,x90_93,x85_90,x_95__97,x40_50,x85_90,x3_5,x1_5,x10_15
JB_6,x15_30,x5,x75_90,x40_50,x162_5_187_5,state3,x2__375_500_,x90_105,x15_30,Beets,x90_105,x45_60,x100_120,x135_150,x_2,x135_150,x45_60,x45_60,x11_5_12_0,x_26_3,x_70,x_22_5,x19_21,x5_10,x950_1150,x15_17,x4_5_5_0,Delibes,x3,x6,x0,Top_dressed,x600_650,x9_10,x42_5_45,x190_210,x_450,x42_44,x_425,x99_100,x95_97,x_95__97,x65_70,x_85,x3_5,x1_5,x15_20
JB_9,x30_45,x10,x_105,x40_50,x187_5_212_5,state2,x1___375_,x_120,x15_30,Clovergrass,x75_90,x_45,x120_140,x165_180,x_2,x120_135,x_45,x_45,x_12_0,x11_4_20_4,x51_60,x27_5_32_5,x15_17,x_35,x550_650,x21_23,x3_0_3_5,Saxo,x3,x6,x3,worked_in_solil,x950_1050,x9_10,x42_5_45,x70_90,x175_225,x35_40,x175_225,x98_99,x98__99,x_99_1_00,x60_65,x90_95,x3_5,x0_1,x0_5
JB_5,x30_45,x_25,x45_60,x40_50,x162_5_187_5,state3,x2__375_500_,x105_120,x60_75,Beets,x45_60,x_45,x100_120,x135_150,x_2,x120_135,x_45,x_45,x_12_0,x_26_4,x25_40,x_22_5,x15_17,x5_10,x350_450,x17_19,x3_5_4_0,Tofta,x3,x4,x2,worked_in_solil,x850_950,x9_10,x40_42_5,x150_170,x325_375,x42_44,x325_375,x99_100,x99_100,x_99_1_00,x30_40,x90_95,x2_3,x0_1,x0_5
JB_2,x15_30,x_5,x30_45,x40_50,x87_5_112_5,state3,x3___500_,x60_75,x15_30,Beets,x90_105,x60_75,x80_100,x105_120,x_2,x120_135,x60_75,x45_60,x11_5_12_0,x_26_3,x61_70,x_22_5,x19_21,x25_35,x550_650,x_23,x3_5_4_0,andre,x6,x8,x1,worked_in_solil,x850_950,x9_10,x45_47_5,x170_190,x325_375,x50_55,x275_325,x80_85,x80_85,x_99_1_00,x50_55,x_85,x3_5,x5_10,x25_30
JB_9,x45_60,x_5,x15_30,x40_50,x187_5_212_5,state0,x3___500_,x75_90,x45_60,Cereals,x75_90,x_45,x80_100,x105_120,x_2,x120_135,x_45,x_45,x10_0_10_5,x_26_4,x41_50,x27_5_32_5,x_15,x_35,x450_550,x15_17,x_3_0,Maud,x1,x5,x2,worked_in_solil,x850_950,x9_10,x42_5_45,x150_170,x275_325,x50_55,x225_275,x90_93,x90_93,x_98__99,x40_50,x_98,x1_2,x0_1,x0_5
JB_9,x30_45,x_5,x0_15,x30_40,x162_5_187_5,state0,x2__375_500_,x45_60,x30_45,Cereals,x75_90,x75_90,x60_80,x120_135,x_2,x120_135,x75_90,x75_90,x9_0_9_5,x_26_3,x61_70,x_22_5,x19_21,x0_5,x950_1150,x17_19,x4_5_5_0,Digger,x3,x4,x2,worked_in_solil,x550_600,x9_10,x40_42_5,x110_130,x275_325,x42_44,x225_275,x80_85,x80_85,x_99_1_00,x60_65,x_85,x3_5,x5_10,x20_25
JB_3,x15_30,x5,x15_30,x40_50,x87_5_112_5,state1,x1___375_,x30_45,x15_30,Beets,x90_105,x90_105,x40_60,x105_120,x_2,x135_150,x90_105,x60_75,x9_5_10_0,x11_4_20_4,x41_50,x_22_5,x19_21,x25_35,x550_650,x15_17,x3_0_3_5,Cork,x3,x8,x_1,worked_in_solil,x750_850,x9_10,x45_47_5,x210_230,x_450,x42_44,x_425,x95_97,x95_97,x_99_1_00,x40_50,x95_98,x3_5,x0_1,x0_5
JB_5,x30_45,x20,x30_45,x50_60,x137_5_162_5,state2,x1___375_,x45_60,x15_30,Cereals,x120_135,x60_75,x60_80,x75_90,x_2,x120_135,x60_75,x_45,x11_0_11_5,x21_4_26_4,x51_60,x37_5_47_5,x_15,x_35,x450_550,x15_17,x_3_0,Jarek,x3,x6,x1,Top_dressed,x850_950,x9_10,x40_42_5,x90_110,x225_275,x42_44,x175_225,x90_93,x85_90,x93__95,x40_50,x_98,x1_2,x0_1,x0_5
JB_2,x30_45,x25,x15_30,x40_50,x112_5_137_5,state2,x2__375_500_,x30_45,x0_15,Cereals,x120_135,x105_120,x40_60,x135_150,x_2,x135_150,x105_120,x105_120,x11_0_11_5,x26_3_10_4,x51_60,x_22_5,x15_17,x0_5,x750_950,x21_23,x4_0_4_5,Saxo,x3,x5,x2,Placed,x700_750,x9_10,x40_42_5,x150_170,x375_424,x40_42,x375_425,x98_99,x98__99,x_99_1_00,x60_65,x_85,x3_5,x5_10,x20_25
Jb_1_,x15_30,x15,x15_30,x40_50,x62_5_87_5,state4,x1___375_,x30_45,x0_15,Clovergrass,x90_105,x105_120,x40_60,x75_90,x_2,x135_150,x90_105,x45_60,x9_0_9_5,x26_3_10_4,x51_60,x_22_5,x17_19,x0_5,x450_550,x15_17,x4_0_4_5,Delibes,x3,x6,x0,worked_in_solil,x600_650,x9_10,x35_40,x70_90,x175_225,x44_46,x175_225,x85_90,x85_90,x_99_1_00,x30_40,x_85,x3_5,x1_5,x15_20
JB_3,x0_15,x25,x0_15,x30_40,x87_5_112_5,state3,x2__375_500_,x0_15,x0_15,Cereals,x105_120,x105_120,x_40,x120_135,x_2,x120_135,x105_120,x105_120,x10_5_11_0,x_26_4,x41_50,x_57_5,x15_17,x25_35,x650_750,x13_15,x_3_0,Prisma,x2,x6,x3,Placed,x850_950,x9_10,x50_55,x230_250,x_450,x46_48,x375_425,x90_93,x90_93,x_99_1_00,x60_65,x_98,x0_1,x0_1,x0_5
JB_9,x30_45,x15,x_105,x40_50,x162_5_187_5,state0,x1___375_,x_120,x15_30,Clovergrass,x75_90,x_45,x120_140,x165_180,x_2,x120_135,x_45,x_45,x9_0_9_5,x_26_3,x_70,x27_5_32_5,x17_19,x10_15,x750_950,x_23,x3_5_4_0,Miralix,x4,x6,x1,Top_dressed,x750_850,x9_10,x42_5_45,x170_190,x_450,x40_42,x_425,x97_98,x97_98,x_99_1_00,x65_70,x_85,x3_5,x5_10,x15_20
JB_5,x30_45,x20,x15_30,x40_50,x137_5_162_5,state1,x3___500_,x30_45,x15_30,Cereals,x105_120,x90_105,x40_60,x120_135,x_2,x120_135,x90_105,x90_105,x10_0_10_5,x26_3_10_4,x61_70,x11_5_27_5,x19_21,x25_35,x650_750,x_23,x3_5_4_0,Delibes,x2,x6,x_1,worked_in_solil,x700_750,x9_10,x40_42_5,x190_210,x_450,x30_35,x375_425,x85_90,x85_90,x_99_1_00,x50_55,x_85,x3_5,x1_5,x5_10
JB_8,x30_45,x_10,x45_60,x40_50,x162_5_187_5,state4,x2__375_500_,x90_105,x45_60,Clovergrass,x45_60,x45_60,x100_120,x150_165,x_2,x135_150,x45_60,x45_60,x11_0_11_5,x21_4_26_4,x41_50,x_22_5,x_15,x5_10,x750_950,x15_17,x4_0_4_5,Abelone,x2,x3,x0,worked_in_solil,x850_950,x9_10,x40_42_5,x150_170,x325_375,x44_46,x275_325,x80_85,x80_85,x_98__99,x70_80,x_98,x1_2,x0_1,x0_5
Jb_1_,x0_15,x10,x0_15,x30_40,x62_5_87_5,state3,x1___375_,x0_15,x0_15,Cereals,x105_120,x120_135,x_40,x120_135,x_2,x120_135,x105_120,x105_120,x10_0_10_5,x26_3_10_4,x25_40,x_22_5,x19_21,x_35,x450_550,x15_17,x3_0_3_5,G_363ta,x4,x4,x_3,Placed,x950_1050,x9_10,x42_5_45,x50_70,x_175,x48_50,x_175,x99_100,x95_97,x_95__97,x50_55,x_98,x0_1,x0_1,x0_5
JB_3,x15_30,x_25,x0_15,x40_50,x87_5_112_5,state0,x3___500_,x45_60,x45_60,Cereals,x75_90,x75_90,x60_80,x75_90,x_2,x135_150,x75_90,x_45,x10_5_11_0,x26_3_10_4,x61_70,x37_5_47_5,x19_21,x0_5,x350_450,x17_19,x4_5_5_0,Texane,x2,x5,x1,Top_dressed,x550_600,x9_10,x42_5_45,x70_90,x_175,x55_60,x_175,x_80,x_75,x_95__97,x_30,x_85,x3_5,x5_10,x20_25
JB_5,x15_30,x5,x0_15,x40_50,x112_5_137_5,state4,x1___375_,x15_30,x15_30,Cereals,x105_120,x120_135,x40_60,x135_150,x_2,x135_150,x105_120,x105_120,x9_0_9_5,x_26_3,x61_70,x_22_5,x15_17,x5_10,x650_750,x15_17,x3_5_4_0,G_363ta,x3,x4,x_3,Placed,x700_750,x9_10,x42_5_45,x70_90,x175_225,x44_46,x175_225,x90_93,x85_90,x93__95,x50_55,x90_95,x3_5,x0_1,x0_5
Jb_7,x30_45,x10,x60_75,x60_70,x162_5_187_5,state4,x3___500_,x90_105,x15_30,Other,x120_135,x45_60,x100_120,x150_165,x_2,x135_150,x45_60,x45_60,x10_5_11_0,x26_3_10_4,x61_70,x11_5_27_5,x17_19,x5_10,x750_950,x17_19,x4_5_5_0,Trebon,x3,x5,x3,Placed,x750_850,x9_10,x40_42_5,x190_210,x325_375,x55_60,x325_375,x97_98,x95_97,x_99_1_00,x50_55,x90_95,x3_5,x0_1,x0_5
JB_9,x30_45,x25,x45_60,x50_60,x162_5_187_5,state3,x2__375_500_,x60_75,x0_15,Clovergrass,x105_120,x75_90,x80_100,x150_165,x_2,x135_150,x75_90,x90_105,x11_0_11_5,x11_4_20_4,x61_70,x_22_5,x_15,x0_5,x750_950,x19_21,x4_5_5_0,Abelone,x3,x3,x_1,worked_in_solil,x750_850,x9_10,x40_42_5,x110_130,x275_325,x42_44,x225_275,x98_99,x90_93,x93__95,x65_70,x_85,x3_5,x1_5,x20_25
JB_4,x30_45,x_20,x30_45,x40_50,x87_5_112_5,state2,x1___375_,x90_105,x45_60,Cer_rotation,x60_75,x_45,x100_120,x120_135,x_2,x120_135,x_45,x_45,x_12_0,x21_4_26_4,x25_40,x_22_5,x23_25,x5_10,x450_550,x19_21,x4_5_5_0,Senor,x3,x4,x2,Top_dressed,x750_850,x9_10,x40_42_5,x150_170,x275_325,x55_60,x225_275,x80_85,x75_80,x_95__97,x40_50,x85_90,x3_5,x1_5,x10_15
JB_9,x45_60,x_15,x_105,x40_50,x137_5_162_5,state4,x3___500_,x_120,x60_75,Other,x45_60,x_45,x120_140,x150_165,x_2,x120_135,x_45,x_45,x9_5_10_0,x_26_3,x61_70,x_22_5,x23_25,x_35,x_1150,x19_21,x_3_0,Ariel,x3,x3,x1,worked_in_solil,x750_850,x9_10,x_35,x190_210,x375_424,x48_50,x375_425,x99_100,x94_95,x93__95,x_80,x_85,x3_5,x1_5,x15_20
JB_5,x45_60,x_20,x30_45,x30_40,x137_5_162_5,state1,x1___375_,x105_120,x60_75,Cereals,x45_60,x_45,x100_120,x135_150,x_2,x120_135,x_45,x_45,x_12_0,x_26_3,x51_60,x_22_5,x25_27,x10_15,x350_450,x19_21,x4_0_4_5,x_321rja,x5,x6,x1,Top_dressed,x850_950,x9_10,x42_5_45,x130_150,x325_375,x40_42,x225_275,x80_85,x75_80,x90__93,x30_40,x90_95,x3_5,x0_1,x0_5
JB_8,x30_45,x_25,x30_45,x30_40,x187_5_212_5,state2,x1___375_,x90_105,x60_75,Beets,x_45,x_45,x100_120,x120_135,x_2,x120_135,x_45,x_45,x11_0_11_5,x11_4_20_4,x61_70,x27_5_32_5,x_15,x15_25,x750_950,x19_21,x4_5_5_0,Nevada,x2,x6,x_1,worked_in_solil,x750_850,x9_10,x35_40,x170_190,x275_325,x55_60,x275_325,x95_97,x95_97,x_99_1_00,x65_70,x_85,x3_5,x1_5,x20_25
JB_9,x30_45,x25,x_105,x40_50,x187_5_212_5,state3,x3___500_,x_120,x0_15,Clovergrass,x90_105,x_45,x120_140,x165_180,x_2,x120_135,x_45,x_45,x10_5_11_0,x11_4_20_4,x61_70,x27_5_32_5,x_15,x0_5,x450_550,x17_19,x_5_0,Give,x4,x6,x2,worked_in_solil,x850_950,x9_10,x47_5_50,x150_170,x375_424,x40_42,x275_325,x80_85,x75_80,x90__93,x40_50,x95_98,x2_3,x0_1,x0_5
JB_5,x30_45,x_15,x45_60,x50_60,x162_5_187_5,state4,x3___500_,x105_120,x45_60,Cer_rotation,x75_90,x_45,x100_120,x135_150,x_2,x120_135,x_45,x_45,x_9,x26_3_10_4,x61_70,x11_5_27_5,x15_17,x25_35,x950_1150,x15_17,x3_0_3_5,Alis,x2,x3,x0,Top_dressed,x700_750,x9_10,x_35,x150_170,x275_325,x50_55,x275_325,x97_98,x95_97,x_98__99,x70_80,x90_95,x3_5,x0_1,x5_10
JB_8,x30_45,x25,x60_75,x40_50,x187_5_212_5,state2,x1___375_,x75_90,x0_15,Beets,x105_120,x45_60,x80_100,x135_150,x_2,x120_135,x45_60,x45_60,x11_0_11_5,x21_4_26_4,x51_60,x_22_5,x_15,x_35,x750_950,x17_19,x3_0_3_5,Evelyn,x3,x8,x0,Top_dressed,x750_850,x9_10,x40_42_5,x150_170,x325_375,x42_44,x325_375,x97_98,x95_97,x_98__99,x65_70,x_85,x3_5,x0_1,x5_10
JB_3,x0_15,x_15,x30_45,x30_40,x87_5_112_5,state3,x3___500_,x60_75,x15_30,Other,x90_105,x60_75,x80_100,x135_150,x_2,x135_150,x60_75,x60_75,x11_5_12_0,x_26_4,x51_60,x_22_5,x_15,x25_35,x750_950,x_23,x3_5_4_0,Portia,x4,x5,x2,worked_in_solil,x750_850,x9_10,x40_42_5,x110_130,x275_325,x40_42,x275_325,x97_98,x95_97,x_97__98,x65_70,x_85,x3_5,x5_10,x15_20
JB_4,x30_45,x25,x30_45,x30_40,x62_5_87_5,state0,x1___375_,x45_60,x0_15,Cer_rotation,x105_120,x75_90,x60_80,x135_150,x_2,x120_135,x75_90,x90_105,x10_5_11_0,x_26_3,x41_50,x_22_5,x17_19,x0_5,x750_950,x17_19,x4_5_5_0,Lamba,x2,x4,x1,worked_in_solil,x850_950,x9_10,x40_42_5,x190_210,x_450,x40_42,x_425,x95_97,x95_97,x_99_1_00,x70_80,x95_98,x3_5,x0_1,x0_5
Jb_1_,x15_30,x_5,x0_15,x30_40,x37_5_62_5,state4,x2__375_500_,x30_45,x15_30,Cereals,x90_105,x90_105,x40_60,x120_135,x_2,x120_135,x90_105,x90_105,x_9,x11_4_20_4,x25_40,x_22_5,x_15,x15_25,x450_550,x13_15,x3_0_3_5,Etna,x2,x4,x0,Placed,x950_1050,x9_10,x42_5_45,x170_190,x_450,x35_40,x325_375,x80_85,x80_85,x_99_1_00,x50_55,x_98,x0_1,x0_1,x0_5
JB_5,x45_60,x0,x75_90,x40_50,x112_5_137_5,state3,x2__375_500_,x_120,x45_60,Beets,x60_75,x_45,x120_140,x165_180,x_2,x135_150,x_45,x_45,x9_0_9_5,x26_3_10_4,x61_70,x_22_5,x19_21,x15_25,x550_650,x15_17,x4_0_4_5,Miralix,x4,x6,x2,Placed,x850_950,x9_10,x45_47_5,x50_70,x_175,x55_60,x_175,x98_99,x94_95,x_95__97,x50_55,x_98,x1_2,x0_1,x0_5
JB_6,x45_60,x20,x0_15,x40_50,x137_5_162_5,state2,x1___375_,x30_45,x30_45,Clovergrass,x60_75,x105_120,x40_60,x_75,x_2,x135_150,x60_75,x_45,x_9,x_26_4,x_25,x47_5_57_5,x_15,x15_25,x350_450,x_13,x3_5_4_0,Trebon,x4,x5,x2,worked_in_solil,x750_850,x9_10,x45_47_5,x170_190,x_450,x40_42,x375_425,x97_98,x94_95,x_95__97,x50_55,x_98,x0_1,x0_1,x0_5
JB_9,x45_60,x5,x75_90,x50_60,x187_5_212_5,state0,x1___375_,x_120,x45_60,Clovergrass,x60_75,x_45,x120_140,x150_165,x_2,x135_150,x_45,x_45,x_12_0,x_26_3,x61_70,x_22_5,x21_23,x15_25,x750_950,x21_23,x4_0_4_5,Rima,x4,x4,x3,worked_in_solil,x700_750,x9_10,x35_40,x210_230,x_450,x42_44,x375_425,x93_95,x85_90,x93__95,x60_65,x_85,x3_5,x5_10,x20_25
Jb_1_,x0_15,x0,x0_15,x40_50,x62_5_87_5,state2,x3___500_,x15_30,x0_15,Cereals,x120_135,x105_120,x40_60,x135_150,x_2,x135_150,x105_120,x105_120,x9_5_10_0,x26_3_10_4,x51_60,x_22_5,x19_21,x_35,x550_650,x17_19,x_3_0,Marina,x4,x5,x2,Placed,x950_1050,x9_10,x42_5_45,x50_70,x_175,x40_42,x_175,x_80,x_75,x93__95,x55_60,x_98,x1_2,x0_1,x0_5
JB_3,x0_15,x_25,x45_60,x40_50,x87_5_112_5,state3,x2__375_500_,x75_90,x30_45,Clovergrass,x60_75,x_45,x80_100,x105_120,x_2,x120_135,x_45,x_45,x11_0_11_5,x11_4_20_4,x61_70,x11_5_27_5,x15_17,x10_15,x550_650,x17_19,x4_5_5_0,Trebon,x4,x5,x3,Placed,x650_700,x9_10,x45_47_5,x90_110,x225_275,x35_40,x225_275,x99_100,x99_100,x_99_1_00,x40_50,x_85,x3_5,x1_5,x10_15
